# ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
# AUTO-GENERATED FILE — DO NOT EDIT MANUALLY
# Generated by : scripts/generate.py
# Generated on : 2026-05-31 21:46
# Source       : layout/granthom_rasavan_v1.2.json
"# To update    : edit the source file, then run: python scripts/generate.py"
# ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

# ── KEYBOARD SCORE (Weighted Effort Score) ─────────────────────────
#
# Formula (Colemak Mod-DH model):
#
#   WES = Σ ( effort_score_i × frequency_pct_i )
#             ─────────────────────────────────
#                   Σ ( frequency_pct_i )
#
# Where:
#   effort_score_i  = Colemak Mod-DH score for the key assigned to group i
#                     (from data/effort_scores.csv)
#   frequency_pct_i = corpus frequency % of character group i
#                     (from data/character_frequencies.csv)
#
# Effort scores reflect: row penalty + finger strength + lateral motion
# penalty (Fitts's Law). Home row index finger = 1.0 (minimum).
# Source: https://colemakmods.github.io/mod-dh/
#
# WES (this layout) = 1.9294
#
# Reference scores:
#   Theoretical minimum   : 1.0000  (home row only)
#   Granthom Rasavan v1.2  : 1.9294  (this layout)
"#   Granthom Rasavan v3.0  : 1.8060  (analysis optimum, pending testing)"
#   Colemak Mod-DH (English): ~1.800
#   InScript Malayalam     : ~2.200  (estimated)
#   QWERTY (English)       : ~3.000
#
# weighted_contribution column = effort_score × frequency_pct per key
# Sum of weighted_contribution / sum of frequency_pct = WES above
# ────────────────────────────────────────────────────────────────────

ph,label,normal,shift,altgr,altgr_shift,effort_score,effort_rank,hand,row,finger,group_id,group_type,raw_count,frequency_pct,weighted_contribution
f,F,ന,ന്,ൻ,F,1.0,1,L,home,index,NA,consonant,8343143,7.4248,7.4248
j,J,ി,ഇ,j,J,1.0,2,R,home,index,I,vowel,10246647,9.1188,9.1188
d,D,ക,ക്,ൿ,D,1.1,4,L,home,middle,KA,consonant,7315993,6.5107,7.16177
k,K,ു,ഉ,k,K,1.1,5,R,home,middle,U,vowel,6819183,6.0686,6.67546
s,S,ാ,ആ,,S,1.3,6,L,home,ring,AA,vowel,6462351,5.7511,7.47643
l,L,ത,ത്,l,L,1.3,7,R,home,ring,TA,consonant,6362691,5.6624,7.36112
a,A,െ,എ,,A,1.6,8,L,home,pinky,E,vowel,3736250,3.3250,5.32
;,;,പ,പ്,;,:,1.6,9,R,home,pinky,PA,consonant,3887112,3.4593,5.53488
c,C,റ,റ്,c,C,1.8,10,L,bot,middle,RRA,consonant,2745992,2.4437,4.39866
m,M,ട,ട്,m,M,1.8,11,R,bot,index,TTA,consonant,3584062,3.1896,5.74128
i,I,ങ,ങ്,i,I,2.0,12,R,top,ring,NGA,consonant,1463272,1.3022,2.6044
e,E,ദ,ദ്,e,E,2.1,13,L,top,middle,DA,consonant,1253322,1.1154,2.34234
v,V,ര,ര്,ർ,V,2.2,14,L,bot,index,RA,consonant,6158664,5.4808,12.05776
u,U,സ,സ്,u,U,2.2,15,R,top,middle,SA,consonant,3007517,2.6765,5.8883
n,N,യ,യ്,n,N,2.2,16,R,bot,index,YA,consonant,5009240,4.4579,9.80738
r,R,ള,ള്,ൾ,R,2.3,17,L,top,index,LLA,consonant,2502707,2.2272,5.12256
x,X,ണ,ണ്,ൺ,X,2.4,18,L,bot,ring,NNA,consonant,1988024,1.7692,4.24608
